"x","y","psi_numerical","psi_exact","error"
  0.0199,  0.0210,  0.6191119E-01,  0.6246917E-01, -0.5579774E-03
  0.0265,  0.0210,  0.8218210E-01,  0.8297967E-01, -0.7975697E-03
  0.0351,  0.0210,  0.1087235E+00,  0.1098349E+00, -0.1111330E-02
  0.0463,  0.0210,  0.1431705E+00,  0.1446891E+00, -0.1518598E-02
  0.0608,  0.0210,  0.1873434E+00,  0.1893842E+00, -0.2040868E-02
  0.0792,  0.0210,  0.2430659E+00,  0.2457655E+00, -0.2699568E-02
  0.1023,  0.0210,  0.3118072E+00,  0.3153189E+00, -0.3511710E-02
  0.1308,  0.0210,  0.3940963E+00,  0.3985792E+00, -0.4482810E-02
  0.1650,  0.0210,  0.4887356E+00,  0.4943331E+00, -0.5597424E-02
  0.2049,  0.0210,  0.5920161E+00,  0.5988257E+00, -0.6809641E-02
  0.2499,  0.0210,  0.6973752E+00,  0.7054137E+00, -0.8038482E-02
  0.2989,  0.0210,  0.7960516E+00,  0.8052260E+00, -0.9174435E-02
  0.3500,  0.0210,  0.8789748E+00,  0.8890745E+00, -0.1009965E-01
  0.4011,  0.0210,  0.9393373E+00,  0.9500568E+00, -0.1071952E-01
  0.4501,  0.0210,  0.9745808E+00,  0.9855820E+00, -0.1100118E-01
  0.4951,  0.0210,  0.9867457E+00,  0.9977142E+00, -0.1096853E-01
  0.5350,  0.0210,  0.9811125E+00,  0.9917992E+00, -0.1068673E-01
  0.5692,  0.0210,  0.9641032E+00,  0.9743427E+00, -0.1023954E-01
  0.5977,  0.0210,  0.9415284E+00,  0.9512367E+00, -0.9708259E-02
  0.6208,  0.0210,  0.9176925E+00,  0.9268513E+00, -0.9158833E-02
  0.6392,  0.0210,  0.8952697E+00,  0.9039069E+00, -0.8637179E-02
  0.6537,  0.0210,  0.8756068E+00,  0.8837770E+00, -0.8170284E-02
  0.6649,  0.0210,  0.8591466E+00,  0.8669167E+00, -0.7770076E-02
  0.6735,  0.0210,  0.8458027E+00,  0.8532408E+00, -0.7438091E-02
  0.6801,  0.0210,  0.8352279E+00,  0.8423977E+00, -0.7169716E-02
  0.6850,  0.0210,  0.8269831E+00,  0.8339405E+00, -0.6957358E-02
  0.6888,  0.0210,  0.8206302E+00,  0.8274226E+00, -0.6792393E-02
  0.6916,  0.0210,  0.8157767E+00,  0.8224430E+00, -0.6666239E-02
  0.6937,  0.0210,  0.8120921E+00,  0.8186631E+00, -0.6570968E-02
  0.6953,  0.0210,  0.8093078E+00,  0.8158075E+00, -0.6499673E-02
  0.0047,  0.0342,  0.1463272E-01,  0.1463272E-01, -0.7530331E-12
  0.0063,  0.0342,  0.1949047E-01,  0.1959087E-01, -0.1003941E-03
  0.0084,  0.0342,  0.2597376E-01,  0.2620815E-01, -0.2343942E-03
  0.0112,  0.0342,  0.3461013E-01,  0.3502304E-01, -0.4129145E-03
  0.0150,  0.0342,  0.4608510E-01,  0.4673525E-01, -0.6501419E-03
  0.0199,  0.0342,  0.6127867E-01,  0.6224296E-01, -0.9642942E-03
  0.0265,  0.0342,  0.8130084E-01,  0.8267920E-01, -0.1378358E-02
  0.0351,  0.0342,  0.1075165E+00,  0.1094371E+00, -0.1920599E-02
  0.0463,  0.0342,  0.1415408E+00,  0.1441652E+00, -0.2624444E-02
  0.0608,  0.0342,  0.1851714E+00,  0.1886985E+00, -0.3527038E-02
  0.0792,  0.0342,  0.2402101E+00,  0.2448755E+00, -0.4665413E-02
  0.1023,  0.0342,  0.3081082E+00,  0.3141772E+00, -0.6068960E-02
  0.1308,  0.0342,  0.3893887E+00,  0.3971359E+00, -0.7747178E-02
  0.1650,  0.0342,  0.4828698E+00,  0.4925430E+00, -0.9673294E-02
  0.2049,  0.0342,  0.5848895E+00,  0.5966573E+00, -0.1176783E-01
  0.2499,  0.0342,  0.6889686E+00,  0.7028593E+00, -0.1389074E-01
  0.2989,  0.0342,  0.7864575E+00,  0.8023103E+00, -0.1585280E-01
  0.3500,  0.0342,  0.8684040E+00,  0.8858551E+00, -0.1745108E-01
  0.4011,  0.0342,  0.9280924E+00,  0.9466166E+00, -0.1852421E-01
  0.4501,  0.0342,  0.9629992E+00,  0.9820131E+00, -0.1901393E-01
  0.4951,  0.0342,  0.9751405E+00,  0.9941014E+00, -0.1896095E-01
  0.5350,  0.0342,  0.9697301E+00,  0.9882078E+00, -0.1847777E-01
  0.5692,  0.0342,  0.9531054E+00,  0.9708146E+00, -0.1770917E-01
  0.5977,  0.0342,  0.9309964E+00,  0.9477922E+00, -0.1679575E-01
  0.6208,  0.0342,  0.9076437E+00,  0.9234951E+00, -0.1585141E-01
  0.6392,  0.0342,  0.8856784E+00,  0.9006338E+00, -0.1495533E-01
  0.6537,  0.0342,  0.8664228E+00,  0.8805768E+00, -0.1415401E-01
  0.6649,  0.0342,  0.8503096E+00,  0.8637775E+00, -0.1346790E-01
  0.6735,  0.0342,  0.8372518E+00,  0.8501511E+00, -0.1289938E-01
  0.6801,  0.0342,  0.8269074E+00,  0.8393473E+00, -0.1243985E-01
  0.6850,  0.0342,  0.8188454E+00,  0.8309207E+00, -0.1207530E-01
  0.6888,  0.0342,  0.8126363E+00,  0.8244264E+00, -0.1179010E-01
  0.6916,  0.0342,  0.8078955E+00,  0.8194649E+00, -0.1156931E-01
  0.6937,  0.0342,  0.8042989E+00,  0.8156986E+00, -0.1139976E-01
  0.6953,  0.0342,  0.8015830E+00,  0.8128534E+00, -0.1127038E-01
  0.0047,  0.0547,  0.1450087E-01,  0.1450087E-01,  0.2846796E-11
  0.0063,  0.0547,  0.1924830E-01,  0.1941434E-01, -0.1660340E-03
  0.0084,  0.0547,  0.2558435E-01,  0.2597200E-01, -0.3876465E-03
  0.0112,  0.0547,  0.3402457E-01,  0.3470746E-01, -0.6828876E-03
  0.0150,  0.0547,  0.4523890E-01,  0.4631412E-01, -0.1075220E-02
  0.0199,  0.0547,  0.6008732E-01,  0.6168210E-01, -0.1594773E-02
  0.0265,  0.0547,  0.7965462E-01,  0.8193418E-01, -0.2279561E-02
  0.0351,  0.0547,  0.1052747E+00,  0.1084510E+00, -0.3176332E-02
  0.0463,  0.0547,  0.1385258E+00,  0.1428662E+00, -0.4340367E-02
  0.0608,  0.0547,  0.1811650E+00,  0.1869981E+00, -0.5833092E-02
  0.0792,  0.0547,  0.2349532E+00,  0.2426690E+00, -0.7715739E-02
  0.1023,  0.0547,  0.3013093E+00,  0.3113461E+00, -0.1003688E-01
  0.1308,  0.0547,  0.3807452E+00,  0.3935573E+00, -0.1281212E-01
  0.1650,  0.0547,  0.4721078E+00,  0.4881048E+00, -0.1599700E-01
  0.2049,  0.0547,  0.5718211E+00,  0.5912809E+00, -0.1945986E-01
  0.2499,  0.0547,  0.6735570E+00,  0.6965260E+00, -0.2296898E-01
  0.2989,  0.0547,  0.7688689E+00,  0.7950808E+00, -0.2621189E-01
  0.3500,  0.0547,  0.8490177E+00,  0.8778728E+00, -0.2885507E-01
  0.4011,  0.0547,  0.9074509E+00,  0.9380867E+00, -0.3063579E-01
  0.4501,  0.0547,  0.9417087E+00,  0.9731643E+00, -0.3145562E-01
  0.4951,  0.0547,  0.9537631E+00,  0.9851437E+00, -0.3138059E-01
  0.5350,  0.0547,  0.9487067E+00,  0.9793032E+00, -0.3059650E-01
  0.5692,  0.0547,  0.9327239E+00,  0.9620667E+00, -0.2934283E-01
  0.5977,  0.0547,  0.9113997E+00,  0.9392517E+00, -0.2785202E-01
  0.6208,  0.0547,  0.8888617E+00,  0.9151736E+00, -0.2631191E-01
  0.6392,  0.0547,  0.8676658E+00,  0.8925183E+00, -0.2485249E-01
  0.6537,  0.0547,  0.8490927E+00,  0.8726421E+00, -0.2354936E-01
  0.6649,  0.0547,  0.8335587E+00,  0.8559941E+00, -0.2243541E-01
  0.6735,  0.0547,  0.8209764E+00,  0.8424905E+00, -0.2151411E-01
  0.6801,  0.0547,  0.8110128E+00,  0.8317840E+00, -0.2077125E-01
  0.6850,  0.0547,  0.8032495E+00,  0.8234334E+00, -0.2018391E-01
  0.6888,  0.0547,  0.7972712E+00,  0.8169976E+00, -0.1972645E-01
  0.6916,  0.0547,  0.7927066E+00,  0.8120808E+00, -0.1937419E-01
  0.6937,  0.0547,  0.7892432E+00,  0.8083485E+00, -0.1910525E-01
  0.6953,  0.0547,  0.7866276E+00,  0.8055289E+00, -0.1890123E-01
  0.0047,  0.0846,  0.1420095E-01,  0.1420095E-01, -0.6126523E-13
  0.0063,  0.0846,  0.1874948E-01,  0.1901279E-01, -0.2633102E-03
  0.0084,  0.0846,  0.2482006E-01,  0.2543482E-01, -0.6147609E-03
  0.0112,  0.0846,  0.3290663E-01,  0.3398961E-01, -0.1082977E-02
  0.0150,  0.0846,  0.4365105E-01,  0.4535622E-01, -0.1705168E-02
  0.0199,  0.0846,  0.5787723E-01,  0.6040634E-01, -0.2529112E-02
  0.0265,  0.0846,  0.7662446E-01,  0.8023956E-01, -0.3615095E-02
  0.0351,  0.0846,  0.1011707E+00,  0.1062080E+00, -0.5037246E-02
  0.0463,  0.0846,  0.1330281E+00,  0.1399113E+00, -0.6883217E-02
  0.0608,  0.0846,  0.1738801E+00,  0.1831305E+00, -0.9250391E-02
  0.0792,  0.0846,  0.2254141E+00,  0.2376499E+00, -0.1223580E-01
  0.1023,  0.0846,  0.2889903E+00,  0.3049066E+00, -0.1591633E-01
  0.1308,  0.0846,  0.3651010E+00,  0.3854175E+00, -0.2031647E-01
  0.1650,  0.0846,  0.4526441E+00,  0.4780095E+00, -0.2536539E-01
  0.2049,  0.0846,  0.5481976E+00,  0.5790516E+00, -0.3085404E-01
  0.2499,  0.0846,  0.6457045E+00,  0.6821199E+00, -0.3641536E-01
  0.2989,  0.0846,  0.7370805E+00,  0.7786363E+00, -0.4155580E-01
  0.3500,  0.0846,  0.8139642E+00,  0.8597159E+00, -0.4575174E-01
  0.4011,  0.0846,  0.8700904E+00,  0.9186845E+00, -0.4859409E-01
  0.4501,  0.0846,  0.9031116E+00,  0.9530366E+00, -0.4992506E-01
  0.4951,  0.0846,  0.9149207E+00,  0.9647682E+00, -0.4984755E-01
  0.5350,  0.0846,  0.9103929E+00,  0.9590485E+00, -0.4865561E-01
  0.5692,  0.0846,  0.8954400E+00,  0.9421685E+00, -0.4672856E-01
  0.5977,  0.0846,  0.8753915E+00,  0.9198254E+00, -0.4443396E-01
  0.6208,  0.0846,  0.8541778E+00,  0.8962453E+00, -0.4206749E-01
  0.6392,  0.0846,  0.8342268E+00,  0.8740585E+00, -0.3983171E-01
  0.6537,  0.0846,  0.8167513E+00,  0.8545934E+00, -0.3784213E-01
  0.6649,  0.0846,  0.8021433E+00,  0.8382898E+00, -0.3614655E-01
  0.6735,  0.0846,  0.7903182E+00,  0.8250655E+00, -0.3474726E-01
  0.6801,  0.0846,  0.7809602E+00,  0.8145805E+00, -0.3362023E-01
  0.6850,  0.0846,  0.7736734E+00,  0.8064025E+00, -0.3272914E-01
  0.6888,  0.0846,  0.7680653E+00,  0.8000998E+00, -0.3203451E-01
  0.6916,  0.0846,  0.7637858E+00,  0.7952847E+00, -0.3149888E-01
  0.6937,  0.0846,  0.7605404E+00,  0.7916296E+00, -0.3108926E-01
  0.6953,  0.0846,  0.7580903E+00,  0.7888683E+00, -0.3077799E-01
  0.0047,  0.1249,  0.1359903E-01,  0.1359903E-01,  0.2341877E-14
  0.0063,  0.1249,  0.1780813E-01,  0.1820692E-01, -0.3987940E-03
  0.0084,  0.1249,  0.2342567E-01,  0.2435675E-01, -0.9310796E-03
  0.0112,  0.1249,  0.3090872E-01,  0.3254893E-01, -0.1640210E-02
  0.0150,  0.1249,  0.4085122E-01,  0.4343376E-01, -0.2582536E-02
  0.0199,  0.1249,  0.5401555E-01,  0.5784597E-01, -0.3830416E-02
  0.0265,  0.1249,  0.7136340E-01,  0.7683854E-01, -0.5475139E-02
  0.0351,  0.1249,  0.9407730E-01,  0.1017062E+00, -0.7628945E-02
  0.0463,  0.1249,  0.1235565E+00,  0.1339810E+00, -0.1042452E-01
  0.0608,  0.1249,  0.1613592E+00,  0.1753684E+00, -0.1400920E-01
  0.0792,  0.1249,  0.2090473E+00,  0.2275769E+00, -0.1852968E-01
  0.1023,  0.1249,  0.2678810E+00,  0.2919829E+00, -0.2410189E-01
  0.1308,  0.1249,  0.3383190E+00,  0.3690813E+00, -0.3076229E-01
  0.1650,  0.1249,  0.4193456E+00,  0.4577486E+00, -0.3840300E-01
  0.2049,  0.1249,  0.5078003E+00,  0.5545080E+00, -0.4670770E-01
  0.2499,  0.1249,  0.5980847E+00,  0.6532077E+00, -0.5512295E-01
  0.2989,  0.1249,  0.6827257E+00,  0.7456332E+00, -0.6290745E-01
  0.3500,  0.1249,  0.7539965E+00,  0.8232762E+00, -0.6927973E-01
  0.4011,  0.1249,  0.8061115E+00,  0.8797453E+00, -0.7363381E-01
  0.4501,  0.1249,  0.8369091E+00,  0.9126414E+00, -0.7573228E-01
  0.4951,  0.1249,  0.8481462E+00,  0.9238758E+00, -0.7572956E-01
  0.5350,  0.1249,  0.8443294E+00,  0.9183985E+00, -0.7406914E-01
  0.5692,  0.1249,  0.8309120E+00,  0.9022340E+00, -0.7132192E-01
  0.5977,  0.1249,  0.8127992E+00,  0.8808379E+00, -0.6803869E-01
  0.6208,  0.1249,  0.7935981E+00,  0.8582573E+00, -0.6465918E-01
  0.6392,  0.1249,  0.7755300E+00,  0.8370109E+00, -0.6148085E-01
  0.6537,  0.1249,  0.7597014E+00,  0.8183708E+00, -0.5866939E-01
  0.6649,  0.1249,  0.7464688E+00,  0.8027582E+00, -0.5628939E-01
  0.6735,  0.1249,  0.7357557E+00,  0.7900945E+00, -0.5433880E-01
  0.6801,  0.1249,  0.7272756E+00,  0.7800538E+00, -0.5277823E-01
  0.6850,  0.1249,  0.7206705E+00,  0.7722225E+00, -0.5155202E-01
  0.6888,  0.1249,  0.7155856E+00,  0.7661870E+00, -0.5060143E-01
  0.6916,  0.1249,  0.7117040E+00,  0.7615759E+00, -0.4987189E-01
  0.6937,  0.1249,  0.7087596E+00,  0.7580758E+00, -0.4931620E-01
  0.6953,  0.1249,  0.7065362E+00,  0.7554315E+00, -0.4889528E-01
  0.0047,  0.1738,  0.1257706E-01,  0.1257706E-01,  0.9740125E-13
  0.0063,  0.1738,  0.1626551E-01,  0.1683867E-01, -0.5731574E-03
  0.0084,  0.1738,  0.2118816E-01,  0.2252633E-01, -0.1338170E-02
  0.0112,  0.1738,  0.2774552E-01,  0.3010287E-01, -0.2357345E-02
  0.0150,  0.1738,  0.3645803E-01,  0.4016970E-01, -0.3711662E-02
  0.0199,  0.1738,  0.4799373E-01,  0.5349882E-01, -0.5505096E-02
