"Block","X","Y","Exact_dFdx","Approx_dFdx","Exact_dFdy","Approx_dFdy","Exact_Lapl","Approx_Lapl"
 1,  0.2480,  0.3973,  0.7085292E+00,  0.7085292E+00, -0.2093859E+01, -0.2093859E+01, -0.4397347E+01, -0.4397530E+01
 1,  0.2809,  0.3973,  0.6325933E+00,  0.6325933E+00, -0.2301263E+01, -0.2301263E+01, -0.4832919E+01, -0.4833121E+01
 1,  0.3151,  0.3973,  0.5464679E+00,  0.5464679E+00, -0.2490937E+01, -0.2490937E+01, -0.5231255E+01, -0.5231474E+01
 1,  0.3500,  0.3973,  0.4521291E+00,  0.4521291E+00, -0.2654809E+01, -0.2654809E+01, -0.5575406E+01, -0.5575639E+01
 1,  0.3849,  0.3973,  0.3523657E+00,  0.3523657E+00, -0.2786828E+01, -0.2786829E+01, -0.5852662E+01, -0.5852907E+01
 1,  0.4191,  0.3973,  0.2504531E+00,  0.2504531E+00, -0.2883803E+01, -0.2883803E+01, -0.6056319E+01, -0.6056572E+01
 1,  0.4520,  0.3973,  0.1497352E+00,  0.1497352E+00, -0.2945692E+01, -0.2945692E+01, -0.6186294E+01, -0.6186552E+01
 1,  0.4830,  0.3973,  0.5321863E-01,  0.5321864E-01, -0.2975304E+01, -0.2975305E+01, -0.6248484E+01, -0.6248744E+01
 1,  0.5117,  0.3973, -0.3672590E-01, -0.3672590E-01, -0.2977535E+01, -0.2977535E+01, -0.6253168E+01, -0.6253429E+01
 1,  0.5380,  0.3973, -0.1185074E+00, -0.1185074E+00, -0.2958391E+01, -0.2958391E+01, -0.6212964E+01, -0.6213223E+01
 1,  0.5615,  0.3973, -0.1913091E+00, -0.1913091E+00, -0.2924070E+01, -0.2924070E+01, -0.6140886E+01, -0.6141142E+01
 1,  0.5824,  0.3973, -0.2549751E+00, -0.2549751E+00, -0.2880254E+01, -0.2880254E+01, -0.6048866E+01, -0.6049118E+01
 1,  0.6007,  0.3973, -0.3098448E+00, -0.3098448E+00, -0.2831687E+01, -0.2831688E+01, -0.5946871E+01, -0.5947119E+01
 1,  0.6166,  0.3973, -0.3565811E+00, -0.3565811E+00, -0.2782025E+01, -0.2782025E+01, -0.5842574E+01, -0.5842818E+01
 1,  0.6302,  0.3973, -0.3960210E+00, -0.3960210E+00, -0.2733857E+01, -0.2733857E+01, -0.5741416E+01, -0.5741655E+01
 1,  0.6418,  0.3973, -0.4290635E+00, -0.4290635E+00, -0.2688855E+01, -0.2688855E+01, -0.5646907E+01, -0.5647143E+01
